%SECTION,Levels,

Name,Number,Description,OverrideColor,OverrideStyle,OverrideWeight,OverrideMaterial,ByLevelColor,ByLevelStyle,ByLevelWeight,ByLevelMaterial,DisplayPriority,Transparency,GlobalDisplay,GlobalFreeze,ElementAccess,Plot,OverrideStyleScale,OverrideStyleOriginWidth,OverrideStyleEndWidth,ByLevelStyleScale,ByLevelStyleOriginWidth,ByLevelStyleEndWidth,
X-OPEN-CORRIDOR, ,No Plot,,,,NULL,0,0,0,NULL,0,0.000000,1,0,0,0,,,,,,,
X-OPEN-DATA, ,No Plot,,,,NULL,0,0,0,NULL,0,0.000000,1,0,0,0,,,,,,,
X-OPEN-TEMP-RANGE, ,No Plot,,,,NULL,0,0,0,NULL,0,0.000000,1,0,0,0,,,,,,,
X-OPEN-TEMP-SINGLE, ,No Plot,,,,NULL,0,0,0,NULL,0,0.000000,1,0,0,0,,,,,,,
X-OPEN-TEMP-TRANS, ,No Plot,,,,NULL,0,0,0,NULL,0,0.000000,1,0,0,0,,,,,,,
X-DSGN-LINE, ,No Plot,,,,NULL,0,0,0,NULL,0,0.000000,1,0,0,0,,,,,,,
X-DSGN-SURF, ,No Plot,,,,NULL,0,0,0,NULL,0,0.000000,1,0,0,0,,,,,,,
C-GRAD-PROP, ,Material,,,,NULL,0,0,0,NULL,0,0.000000,1,0,0,1,,,,,,,
C-GRAD-PROP-BOTTOM, ,Material,,,,NULL,0,0,0,NULL,0,0.000000,1,0,0,1,,,,,,,
C-GRAD-GRASS, ,Material,,,,NULL,0,0,0,"Bentley_Materials.dgnlib|Landscape.pal:Grass light green",0,0.000000,1,0,0,1,,,,,,,
C-PAVE-WEARING, ,Material,,,,NULL,0,0,0,"$(_DGNLIB)|Materials_Imperial.dgnlib|Bentley-Civil.pal:Asphalt Top Course",0,0.000000,1,0,0,1,,,,,,,
C-PAVE-BINDER, ,Material,,,,NULL,0,0,0,"$(_DGNLIB)|Materials_Imperial.dgnlib|Bentley-Civil.pal:Asph. Leveling Binder",0,0.000000,1,0,0,1,,,,,,,
